lieu,type_lieu,parent_lieu,parent_slug,marque,date_information,prix_paquet_eur,prix_paquet_local,devise_locale_code,devise_locale_nom,prix_moyen_eur_courant,prix_min_eur_courant,prix_max_eur_courant,prix_moyen_local_courant,prix_min_local_courant,prix_max_local_courant,date_derniere_mise_a_jour,annee_page,source_url,source_page_url,source_type
Afrique du Sud,pays_ou_region,,,Marlboro,2026-04-26,2.81,54,ZAR,Rand,2.81,2.32,3.35,54,45,65,2026-04-26,2026,https://www.combien-coute.net/cigarette/afrique-du-sud/,https://www.combien-coute.net/cigarette/afrique-du-sud/,detail
Alaska,pays_ou_region,,,Marlboro,2026-04-24,10.74,13,$ (USD),dollar américain,10.74,10.27,11.98,13,12,14,2026-04-24,2026,https://www.combien-coute.net/cigarette/alaska/,https://www.combien-coute.net/cigarette/alaska/,detail
Albanie,pays_ou_region,,,Marlboro,2026-04-25,3.87,369,ALL,Lek,3.87,3.45,4.71,369,329,449,2026-04-25,2026,https://www.combien-coute.net/cigarette/albanie/,https://www.combien-coute.net/cigarette/albanie/,detail
Algérie,pays_ou_region,,,Marlboro,2026-04-29,2.39,370,DZD,Dinar algérien,2.39,2,3,370,310,465,2026-04-29,2026,https://www.combien-coute.net/cigarette/algerie/,https://www.combien-coute.net/cigarette/algerie/,detail
Allemagne,pays_ou_region,,,Marlboro,2026-04-26,8.7,,,,8.7,8.2,10,,,,2026-04-26,2026,https://www.combien-coute.net/cigarette/allemagne/,https://www.combien-coute.net/cigarette/allemagne/,detail
Alpes,pays_ou_region,,,Marlboro,2015-07-01,11.75,,,,11.75,11,13,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/rh-ne-alpes/,https://www.combien-coute.net/cigarette/rh-ne-alpes/,detail
Alsace,pays_ou_region,,,Marlboro,2015-07-01,9.31,,,,9.31,4.13,16,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/alsace/,https://www.combien-coute.net/cigarette/alsace/,detail
Andorre,pays_ou_region,,,Marlboro,2026-04-28,4.95,,,,4.95,3.5,6,,,,2026-04-28,2026,https://www.combien-coute.net/cigarette/andorre/,https://www.combien-coute.net/cigarette/andorre/,detail
Angleterre,pays_ou_region,,,Marlboro,2026-04-23,20.19,18,£ (GBP),livre sterling,20.19,16.15,20.76,18,14,18,2026-04-23,2026,https://www.combien-coute.net/cigarette/angleterre/,https://www.combien-coute.net/cigarette/angleterre/,detail
Angola,pays_ou_region,,,Marlboro,2026-04-25,1.96,2101,AOA,Kwanza,1.96,1.4,2.98,2101,1501,3195,2026-04-25,2026,https://www.combien-coute.net/cigarette/angola/,https://www.combien-coute.net/cigarette/angola/,detail
Antigua-et-Barbuda,pays_ou_region,,,Marlboro,2026-04-27,6.32,20,$ (XCD),Dollar des Caraïbes de l'est,6.32,,,20,,,2026-04-27,2026,https://www.combien-coute.net/cigarette/antigua-et-barbuda/,https://www.combien-coute.net/cigarette/antigua-et-barbuda/,detail
Antilles néerlandaises,pays_ou_region,,,Marlboro,2026-04-29,8.35,17,ANG,Florin des Antilles néerlandaises,8.35,,,17,,,2026-04-29,2026,https://www.combien-coute.net/cigarette/antilles-neerlandaises/,https://www.combien-coute.net/cigarette/antilles-neerlandaises/,detail
Arabie Saoudite,pays_ou_region,,,Marlboro,2026-04-29,6.37,28,SAR,Riyal saoudien,6.37,5.69,7.97,28,25,35,2026-04-29,2026,https://www.combien-coute.net/cigarette/arabie-saoudite/,https://www.combien-coute.net/cigarette/arabie-saoudite/,detail
Argentine,pays_ou_region,,,Marlboro,2026-04-27,3.24,5281,ARS,Peso,3.24,2.32,4.27,5281,3782,6960,2026-04-27,2026,https://www.combien-coute.net/cigarette/argentine/,https://www.combien-coute.net/cigarette/argentine/,detail
Arménie,pays_ou_region,,,Marlboro,2026-04-27,2.3,1001,AMD,Dram,2.3,2.19,2.99,1001,953,1301,2026-04-27,2026,https://www.combien-coute.net/cigarette/armenie/,https://www.combien-coute.net/cigarette/armenie/,detail
Aruba,pays_ou_region,,,Marlboro,2026-04-25,14.93,31,ANG,Florin des Antilles néerlandaises,14.93,,,31,,,2026-04-25,2026,https://www.combien-coute.net/cigarette/aruba/,https://www.combien-coute.net/cigarette/aruba/,detail
Australie,pays_ou_region,,,Marlboro,2026-05-01,30.68,50,$ (AUD),Dollar australien,30.68,24.54,36.81,50,40,60,2026-05-01,2026,https://www.combien-coute.net/cigarette/australie/,https://www.combien-coute.net/cigarette/australie/,detail
Autriche,pays_ou_region,,,Marlboro,2026-04-25,6.5,,,,6.5,6,7.99,,,,2026-04-25,2026,https://www.combien-coute.net/cigarette/autriche/,https://www.combien-coute.net/cigarette/autriche/,detail
Auvergne,pays_ou_region,,,Marlboro,2015-07-01,11.75,,,,11.75,10,14,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/auvergne/,https://www.combien-coute.net/cigarette/auvergne/,detail
Azerbaïdjan,pays_ou_region,,,Marlboro,2026-04-23,3.01,6,AZN,Manat d'Azerbaïdjan,3.01,2.51,4.02,6,5,8,2026-04-23,2026,https://www.combien-coute.net/cigarette/azerbaidjan/,https://www.combien-coute.net/cigarette/azerbaidjan/,detail
Açores,pays_ou_region,,,Marlboro,2026-04-28,4,,,,4,3.5,4.5,,,,2026-04-28,2026,https://www.combien-coute.net/cigarette/acores/,https://www.combien-coute.net/cigarette/acores/,detail
Bahamas,pays_ou_region,,,Marlboro,2026-04-27,12.81,15,$ (BSD),Dollar des Bahamas,12.81,11.69,13.66,15,14,16,2026-04-27,2026,https://www.combien-coute.net/cigarette/bahamas/,https://www.combien-coute.net/cigarette/bahamas/,detail
Bahreïn,pays_ou_region,,,Marlboro,2026-04-23,4.98,2,BHD,Dinar bahreïni,4.98,4.53,5.66,2,2,3,2026-04-23,2026,https://www.combien-coute.net/cigarette/bahrein/,https://www.combien-coute.net/cigarette/bahrein/,detail
Bali,pays_ou_region,,,Marlboro,2026-05-01,1.87,37925,IDR,Monnaie,1.87,1.48,2.46,37925,30016,49891,2026-05-01,2026,https://www.combien-coute.net/cigarette/bali/,https://www.combien-coute.net/cigarette/bali/,detail
Baléares,pays_ou_region,,,Marlboro,2026-04-30,6,,,,6,5.5,7,,,,2026-04-30,2026,https://www.combien-coute.net/cigarette/iles-baleares/,https://www.combien-coute.net/cigarette/iles-baleares/,detail
Bangladesh,pays_ou_region,,,Marlboro,2026-04-29,2.78,401,BDT,Taka,2.78,2.22,3.12,401,320,450,2026-04-29,2026,https://www.combien-coute.net/cigarette/bangladesh/,https://www.combien-coute.net/cigarette/bangladesh/,detail
Barbade,pays_ou_region,,,Marlboro,2026-04-24,7.32,17,$ (BBD),Dollar de Barbade,7.32,6.42,8.56,17,15,20,2026-04-24,2026,https://www.combien-coute.net/cigarette/barbade/,https://www.combien-coute.net/cigarette/barbade/,detail
Belgique,pays_ou_region,,,Marlboro,2026-04-26,11.5,,,,11.5,10,13,,,,2026-04-26,2026,https://www.combien-coute.net/cigarette/belgique/,https://www.combien-coute.net/cigarette/belgique/,detail
Belize,pays_ou_region,,,Marlboro,2026-04-26,4.27,10,$ (BZD),Dollar de Belize,4.27,3.4,6.82,10,8,16,2026-04-26,2026,https://www.combien-coute.net/cigarette/belize/,https://www.combien-coute.net/cigarette/belize/,detail
Bermudes,pays_ou_region,,,Marlboro,2026-04-29,15.37,18,$ (BMD),dollar des Bermudes,15.37,13.66,17.07,18,16,20,2026-04-29,2026,https://www.combien-coute.net/cigarette/bermudes/,https://www.combien-coute.net/cigarette/bermudes/,detail
Bhoutan,pays_ou_region,,,Marlboro,2026-04-23,2.97,326,BTN,Ngultrum,2.97,1.83,3.65,326,201,401,2026-04-23,2026,https://www.combien-coute.net/cigarette/bhoutan/,https://www.combien-coute.net/cigarette/bhoutan/,detail
Birmanie (Myanmar),pays_ou_region,,,Marlboro,2026-04-30,1.4,3440,MMK,kyat,1.4,0.86,1.71,3440,2113,4202,2026-04-30,2026,https://www.combien-coute.net/cigarette/birmanie/,https://www.combien-coute.net/cigarette/birmanie/,detail
Biélorussie,pays_ou_region,,,Marlboro,2026-04-26,2.11,7,BYN,rouble biélorusse,2.11,1.81,2.56,7,6,8,2026-04-26,2026,https://www.combien-coute.net/cigarette/bielorussie/,https://www.combien-coute.net/cigarette/bielorussie/,detail
Bolivie,pays_ou_region,,,Marlboro,2026-04-29,2.47,20,BOB,Boliviano,2.47,1.85,3.09,20,15,25,2026-04-29,2026,https://www.combien-coute.net/cigarette/bolivie/,https://www.combien-coute.net/cigarette/bolivie/,detail
Bora Bora,pays_ou_region,,,Marlboro,2017-11-22,7.48,893,F CFP (XPF),franc pacifique,7.48,7.33,7.63,893,875,910,2017-11-22,2026,https://www.combien-coute.net/cigarette/bora-bora/,https://www.combien-coute.net/cigarette/bora-bora/,detail
Bornéo - partie indonésienne (Kalimantan),pays_ou_region,,,Marlboro,2026-04-25,1.63,32874,IDR,Monnaie,1.63,1.48,2.22,32874,29849,44773,2026-04-25,2026,https://www.combien-coute.net/cigarette/kalimantan-borneo/,https://www.combien-coute.net/cigarette/kalimantan-borneo/,detail
Bosnie-Herzégovine,pays_ou_region,,,Marlboro,2026-04-26,3.32,7,BAM,mark convertible,3.32,3.07,3.58,7,6,7,2026-04-26,2026,https://www.combien-coute.net/cigarette/bosnie-herzegovine/,https://www.combien-coute.net/cigarette/bosnie-herzegovine/,detail
Botswana,pays_ou_region,,,Marlboro,2026-04-25,3.16,50,BWP,Pula,3.16,2.84,4.8,50,45,76,2026-04-25,2026,https://www.combien-coute.net/cigarette/botswana/,https://www.combien-coute.net/cigarette/botswana/,detail
Bourgogne,pays_ou_region,,,Marlboro,2015-07-01,11.85,,,,11.85,11,16,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/bourgogne/,https://www.combien-coute.net/cigarette/bourgogne/,detail
Bretagne,pays_ou_region,,,Marlboro,2015-07-01,11.45,,,,11.45,9,14,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/bretagne/,https://www.combien-coute.net/cigarette/bretagne/,detail
Brunei,pays_ou_region,,,Marlboro,2026-05-01,10.04,15,$ (BND),Dollar de Brunei,10.04,6.69,13.38,15,10,20,2026-05-01,2026,https://www.combien-coute.net/cigarette/brunei/,https://www.combien-coute.net/cigarette/brunei/,detail
Brésil,pays_ou_region,,,Marlboro,2026-04-29,2.13,12,BRL,Real,2.13,1.71,3.42,12,10,20,2026-04-29,2026,https://www.combien-coute.net/cigarette/bresil/,https://www.combien-coute.net/cigarette/bresil/,detail
Bulgarie,pays_ou_region,,,Marlboro,2026-04-25,3.43,7,BGN,Lev,3.43,3.07,4.09,7,6,8,2026-04-25,2026,https://www.combien-coute.net/cigarette/bulgarie/,https://www.combien-coute.net/cigarette/bulgarie/,detail
Burkina Faso,pays_ou_region,,,Marlboro,2026-04-26,1.3,853,F CFA (XOF),Franc CFA,1.3,1.07,1.71,853,702,1122,2026-04-26,2026,https://www.combien-coute.net/cigarette/burkina-faso/,https://www.combien-coute.net/cigarette/burkina-faso/,detail
Burundi,pays_ou_region,,,Marlboro,2026-05-01,2.07,7189,BIF,Franc du Burundi,2.07,,,7189,,,2026-05-01,2026,https://www.combien-coute.net/cigarette/burundi/,https://www.combien-coute.net/cigarette/burundi/,detail
Bénin,pays_ou_region,,,Marlboro,2026-04-26,1.72,1128,F CFA (XOF),Franc CFA-BCEAO,1.72,0.38,3.05,1128,249,2001,2026-04-26,2026,https://www.combien-coute.net/cigarette/benin/,https://www.combien-coute.net/cigarette/benin/,detail
Californie,pays_ou_region,,,Marlboro,2026-04-24,10.27,12,$ (USD),dollar américain,10.27,8.56,11.98,12,10,14,2026-04-24,2026,https://www.combien-coute.net/cigarette/californie/,https://www.combien-coute.net/cigarette/californie/,detail
Cambodge,pays_ou_region,,,Marlboro,2026-04-29,1.49,6987,KHR,Riel,1.49,1.07,2.13,6987,5017,9988,2026-04-29,2026,https://www.combien-coute.net/cigarette/cambodge/,https://www.combien-coute.net/cigarette/cambodge/,detail
Cameroun,pays_ou_region,,,Marlboro,2026-04-30,1.52,997,F CFA (XAF),Franc CFA,1.52,1.52,3.05,997,997,2001,2026-04-30,2026,https://www.combien-coute.net/cigarette/cameroun/,https://www.combien-coute.net/cigarette/cameroun/,detail
Canada,pays_ou_region,,,Marlboro,2026-04-25,12.47,20,$ (CAD),Dollar canadien,12.47,9.98,15.59,20,16,25,2026-04-25,2026,https://www.combien-coute.net/cigarette/canada/,https://www.combien-coute.net/cigarette/canada/,detail
Canaries,pays_ou_region,,,Marlboro,2026-04-30,4.13,,,,4.13,4.13,6,,,,2026-04-30,2026,https://www.combien-coute.net/cigarette/iles-canaries/,https://www.combien-coute.net/cigarette/iles-canaries/,detail
Cap-Vert,pays_ou_region,,,Marlboro,2026-04-26,4.53,501,CVE,escudo du Cap-Vert,4.53,4.08,6.08,501,451,673,2026-04-26,2026,https://www.combien-coute.net/cigarette/cap-vert/,https://www.combien-coute.net/cigarette/cap-vert/,detail
Cebu (îles des Visayas),pays_ou_region,,,Marlboro,2026,2.64,2,₱ (PHP),Peso philippin,2.64,2.21,2.95,2,1,2,,2026,https://www.combien-coute.net/cigarette/cebu/,https://www.combien-coute.net/cigarette/cebu/,detail
Centre-Val de Loire,pays_ou_region,,,Marlboro,2015-07-01,12.13,,,,12.13,10,20,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/centre/,https://www.combien-coute.net/cigarette/centre/,detail
Champagne-Ardenne,pays_ou_region,,,Marlboro,2015-07-01,9.74,,,,9.74,1.57,18,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/champagne-ardenne/,https://www.combien-coute.net/cigarette/champagne-ardenne/,detail
Charentes (Charente-Maritime et Charente),pays_ou_region,,,Marlboro,2026,10.46,,,,10.46,8,13,,,,,2026,https://www.combien-coute.net/cigarette/charentes/,https://www.combien-coute.net/cigarette/charentes/,detail
Chili,pays_ou_region,,,Marlboro,2026-04-26,4.77,5014,CLP,Peso chilien,4.77,4.29,5.72,5014,4509,6012,2026-04-26,2026,https://www.combien-coute.net/cigarette/chili/,https://www.combien-coute.net/cigarette/chili/,detail
Chine,pays_ou_region,,,Marlboro,2026-05-01,3.12,25,Ұ (CNY),Yuan Ren Min Bi,3.12,2.5,4.37,25,20,35,2026-05-01,2026,https://www.combien-coute.net/cigarette/chine/,https://www.combien-coute.net/cigarette/chine/,detail
Chypre,pays_ou_region,,,Marlboro,2026-04-25,5,,,,5,4.8,6,,,,2026-04-25,2026,https://www.combien-coute.net/cigarette/chypre/,https://www.combien-coute.net/cigarette/chypre/,detail
Colombie,pays_ou_region,,,Marlboro,2026-04-24,2.89,12084,COP,Peso colombien,2.89,2.17,3.61,12084,9074,15095,2026-04-24,2026,https://www.combien-coute.net/cigarette/colombie/,https://www.combien-coute.net/cigarette/colombie/,detail
Congo-Brazzaville (République du Congo),pays_ou_region,,,Marlboro,2026-04-23,2.78,7558,CDF,Franc congolais,2.78,,,7558,,,2026-04-23,2026,https://www.combien-coute.net/cigarette/congo/,https://www.combien-coute.net/cigarette/congo/,detail
Corse,pays_ou_region,,,Marlboro,2015-07-01,10.25,,,,10.25,9,13,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/corse/,https://www.combien-coute.net/cigarette/corse/,detail
Corée du Sud,pays_ou_region,,,Marlboro,2026-05-01,2.6,4507,￦ (KRW),Won,2.6,2.6,2.89,4507,4507,5010,2026-05-01,2026,https://www.combien-coute.net/cigarette/coree-du-sud/,https://www.combien-coute.net/cigarette/coree-du-sud/,detail
Costa Rica,pays_ou_region,,,Marlboro,2026-04-25,4.69,2494,CRC,Colon de Costa Rica,4.69,4.27,5.62,2494,2271,2989,2026-04-25,2026,https://www.combien-coute.net/cigarette/costa-rica/,https://www.combien-coute.net/cigarette/costa-rica/,detail
Croatie,pays_ou_region,,,Marlboro,2026-04-26,5,38,HRK,Kuna,5,4.8,6,38,36,45,2026-04-26,2026,https://www.combien-coute.net/cigarette/croatie/,https://www.combien-coute.net/cigarette/croatie/,detail
Crète,pays_ou_region,,,Marlboro,2026-05-01,4.5,,,,4.5,4,5,,,,2026-05-01,2026,https://www.combien-coute.net/cigarette/crete/,https://www.combien-coute.net/cigarette/crete/,detail
Cuba,pays_ou_region,,,Marlboro,2026-04-25,2.99,3,CUC,Peso cubain,2.99,2.56,3.41,3,3,4,2026-04-25,2026,https://www.combien-coute.net/cigarette/cuba/,https://www.combien-coute.net/cigarette/cuba/,detail
Côte d'Ivoire,pays_ou_region,,,Marlboro,2026-04-29,1.52,995,F CFA (XOF),Franc CFA,1.52,1.22,1.52,995,798,995,2026-04-29,2026,https://www.combien-coute.net/cigarette/cote-d-ivoire/,https://www.combien-coute.net/cigarette/cote-d-ivoire/,detail
Côte d’Azur et Provence,pays_ou_region,,,Marlboro,2015-07-01,11.65,,,,11.65,8,16,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/provence-alpes-c-te-d-azur/,https://www.combien-coute.net/cigarette/provence-alpes-c-te-d-azur/,detail
Danemark,pays_ou_region,,,Marlboro,2026-04-27,8.43,63,DKK,Couronne danoise,8.43,8.03,10.04,63,60,75,2026-04-27,2026,https://www.combien-coute.net/cigarette/danemark/,https://www.combien-coute.net/cigarette/danemark/,detail
Djibouti,pays_ou_region,,,Marlboro,2026-04-29,2.31,482,DJF,Franc de Djibouti,2.31,1.68,2.95,482,351,616,2026-04-29,2026,https://www.combien-coute.net/cigarette/djibouti/,https://www.combien-coute.net/cigarette/djibouti/,detail
Dominique,pays_ou_region,,,Marlboro,2026-04-29,6.32,20,$ (XCD),Dollar des Caraïbes de l'est,6.32,,,20,,,2026-04-29,2026,https://www.combien-coute.net/cigarette/dominique/,https://www.combien-coute.net/cigarette/dominique/,detail
Drôme,pays_ou_region,,,Marlboro,2026,12.35,,,,12.35,11.2,13.7,,,,,2026,https://www.combien-coute.net/cigarette/drome/,https://www.combien-coute.net/cigarette/drome/,detail
Espagne,pays_ou_region,,,Marlboro,2026-04-27,5.82,,,,5.82,5,7,,,,2026-04-27,2026,https://www.combien-coute.net/cigarette/espagne/,https://www.combien-coute.net/cigarette/espagne/,detail
Estonie,pays_ou_region,,,Marlboro,2026-04-29,6,,,,6,5.5,6.5,,,,2026-04-29,2026,https://www.combien-coute.net/cigarette/estonie/,https://www.combien-coute.net/cigarette/estonie/,detail
Finlande,pays_ou_region,,,Marlboro,2026-04-27,11.1,,,,11.1,10,13,,,,2026-04-27,2026,https://www.combien-coute.net/cigarette/finlande/,https://www.combien-coute.net/cigarette/finlande/,detail
Floride,pays_ou_region,,,Marlboro,2026-04-23,7.75,9,$ (USD),dollar américain,7.75,7.75,10.25,9,9,12,2026-04-23,2026,https://www.combien-coute.net/cigarette/floride/,https://www.combien-coute.net/cigarette/floride/,detail
France,pays_ou_region,,,Marlboro,2026-05-01,12.5,,,,12.5,11,14,,,,2026-05-01,2026,https://www.combien-coute.net/cigarette/france/,https://www.combien-coute.net/cigarette/france/,detail
Franche-Comté,pays_ou_region,,,Marlboro,2015-07-01,11.33,,,,11.33,10,14,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/franche-comte/,https://www.combien-coute.net/cigarette/franche-comte/,detail
Gabon,pays_ou_region,,,Marlboro,2026-04-30,2.29,1503,F CFA (XAF),Franc CFA-BEAC,2.29,1.83,2.29,1503,1201,1503,2026-04-30,2026,https://www.combien-coute.net/cigarette/gabon/,https://www.combien-coute.net/cigarette/gabon/,detail
Gambie,pays_ou_region,,,Marlboro,2026-04-26,1.45,125,GMD,Dalasie,1.45,1.39,1.74,125,120,150,2026-04-26,2026,https://www.combien-coute.net/cigarette/gambie/,https://www.combien-coute.net/cigarette/gambie/,detail
Ghana,pays_ou_region,,,Marlboro,2026-04-23,1.36,18,GHS,Cedi,1.36,1.21,2.99,18,16,39,2026-04-23,2026,https://www.combien-coute.net/cigarette/ghana/,https://www.combien-coute.net/cigarette/ghana/,detail
Gironde,pays_ou_region,,,Marlboro,2015-07-01,11.75,,,,11.75,11,14,,,,2015-07-01,2026,https://www.combien-coute.net/cigarette/aquitaine/,https://www.combien-coute.net/cigarette/aquitaine/,detail
Grande Canarie,pays_ou_region,,,Marlboro,2026-04-24,4,,,,4,3.8,4.6,,,,2026-04-24,2026,https://www.combien-coute.net/cigarette/grande-canarie/,https://www.combien-coute.net/cigarette/grande-canarie/,detail
Groenland,pays_ou_region,,,Marlboro,2026-04-23,12.04,90,DKK,Couronne danoise,12.04,10.71,13.38,90,80,100,2026-04-23,2026,https://www.combien-coute.net/cigarette/groenland/,https://www.combien-coute.net/cigarette/groenland/,detail
Grèce,pays_ou_region,,,Marlboro,2026-04-27,4.8,,,,4.8,4.5,6,,,,2026-04-27,2026,https://www.combien-coute.net/cigarette/grece/,https://www.combien-coute.net/cigarette/grece/,detail
Guadeloupe,pays_ou_region,,,Marlboro,2026-04-29,10.5,,,,10.5,,,,,,2026-04-29,2026,https://www.combien-coute.net/cigarette/guadeloupe/,https://www.combien-coute.net/cigarette/guadeloupe/,detail
Guatemala,pays_ou_region,,,Marlboro,2026-04-26,3.35,30,GTQ,Quetzal,3.35,2.79,3.91,30,25,35,2026-04-26,2026,https://www.combien-coute.net/cigarette/guatemala/,https://www.combien-coute.net/cigarette/guatemala/,detail
Guinée,pays_ou_region,,,Marlboro,2026-04-30,0.99,10167,GNF,Franc guinéen,0.99,0.86,1.03,10167,8832,10578,2026-04-30,2026,https://www.combien-coute.net/cigarette/guinee/,https://www.combien-coute.net/cigarette/guinee/,detail
Guyana,pays_ou_region,,,Marlboro,2026-04-30,2.09,511,$ (GYD),Dollar guyanais,2.09,1.88,2.87,511,460,702,2026-04-30,2026,https://www.combien-coute.net/cigarette/guyana/,https://www.combien-coute.net/cigarette/guyana/,detail
Guyane Française,pays_ou_region,,,Marlboro,2026-04-30,8,,,,8,6,9,,,,2026-04-30,2026,https://www.combien-coute.net/cigarette/guyane-francaise/,https://www.combien-coute.net/cigarette/guyane-francaise/,detail
Géorgie,pays_ou_region,,,Marlboro,2026-04-30,2.67,8,GEL,Lari,2.67,2.55,3.18,8,8,10,2026-04-30,2026,https://www.combien-coute.net/cigarette/georgie/,https://www.combien-coute.net/cigarette/georgie/,detail
Hautes-Vosges (massif des Vosges),pays_ou_region,,,Marlboro,2026,6.4,,,,6.4,6.4,7.2,,,,,2026,https://www.combien-coute.net/cigarette/vosges/,https://www.combien-coute.net/cigarette/vosges/,detail
Hawai,pays_ou_region,,,Marlboro,2026-05-01,10.71,13,$ (USD),dollar américain,10.71,10.23,13.64,13,12,16,2026-05-01,2026,https://www.combien-coute.net/cigarette/hawai/,https://www.combien-coute.net/cigarette/hawai/,detail
Haïti,pays_ou_region,,,Marlboro,2026-05-01,3.41,521,HTG,Gourde,3.41,1.63,3.9,521,249,596,2026-05-01,2026,https://www.combien-coute.net/cigarette/haiti/,https://www.combien-coute.net/cigarette/haiti/,detail
Honduras,pays_ou_region,,,Marlboro,2026-04-27,2.41,75,HNL,Lempira,2.41,2.22,2.57,75,69,80,2026-04-27,2026,https://www.combien-coute.net/cigarette/honduras/,https://www.combien-coute.net/cigarette/honduras/,detail
Hongrie,pays_ou_region,,,Marlboro,2026-04-27,6.83,2494,Ft (HUF),Forint,6.83,6.02,8.21,2494,2198,2998,2026-04-27,2026,https://www.combien-coute.net/cigarette/hongrie/,https://www.combien-coute.net/cigarette/hongrie/,detail
Inde,pays_ou_region,,,Marlboro,2026-04-24,3.18,350,Rs. (INR),Roupie indienne,3.18,2.27,3.64,350,250,401,2026-04-24,2026,https://www.combien-coute.net/cigarette/inde/,https://www.combien-coute.net/cigarette/inde/,detail
Indonésie,pays_ou_region,,,Marlboro,2026-04-23,2.23,44972,IDR,Monnaie,2.23,1.74,2.73,44972,35090,55056,2026-04-23,2026,https://www.combien-coute.net/cigarette/indonesie/,https://www.combien-coute.net/cigarette/indonesie/,detail
Iran,pays_ou_region,,,Marlboro,2026-05-01,1.87,2870899,IRR,Rial iranien,1.87,1.36,2.66,2870899,2087926,4083738,2026-05-01,2026,https://www.combien-coute.net/cigarette/iran/,https://www.combien-coute.net/cigarette/iran/,detail
Irlande,pays_ou_region,,,Marlboro,2026-04-25,18,,,,18,15.45,20,,,,2026-04-25,2026,https://www.combien-coute.net/cigarette/irlande/,https://www.combien-coute.net/cigarette/irlande/,detail
Irlande du nord,pays_ou_region,,,Marlboro,2026-05-01,20.29,18,£ (GBP),livre sterling,20.29,16.23,20.87,18,14,18,2026-05-01,2026,https://www.combien-coute.net/cigarette/irlande-du-nord/,https://www.combien-coute.net/cigarette/irlande-du-nord/,detail
Islande,pays_ou_region,,,Marlboro,2026-04-27,12.18,1751,ISK,Couronne islandaise,12.18,10.44,13.16,1751,1501,1892,2026-04-27,2026,https://www.combien-coute.net/cigarette/islande/,https://www.combien-coute.net/cigarette/islande/,detail
Israël (et Palestine),pays_ou_region,,,Marlboro,2026-04-26,11.43,40,₪ (ILS),Shekel,11.43,10,12.86,40,35,45,2026-04-26,2026,https://www.combien-coute.net/cigarette/isra-l-palestine/,https://www.combien-coute.net/cigarette/isra-l-palestine/,detail
Italie,pays_ou_region,,,Marlboro,2026-04-27,6,,,,6,5.5,7,,,,2026-04-27,2026,https://www.combien-coute.net/cigarette/italie/,https://www.combien-coute.net/cigarette/italie/,detail
Jamaïque,pays_ou_region,,,Marlboro,2026-04-24,8.61,1602,$ (JMD),Dollar jamaïcain,8.61,7.54,16.15,1602,1403,3006,2026-04-24,2026,https://www.combien-coute.net/cigarette/jamaique/,https://www.combien-coute.net/cigarette/jamaique/,detail
Japon,pays_ou_region,,,Marlboro,2026-04-25,3.32,619,¥ (JPY),Yen,3.32,3.1,3.75,619,578,699,2026-04-25,2026,https://www.combien-coute.net/cigarette/japon/,https://www.combien-coute.net/cigarette/japon/,detail
Java,pays_ou_region,,,Marlboro,2026-04-25,2.47,49815,IDR,Monnaie,2.47,2.08,2.97,49815,41950,59900,2026-04-25,2026,https://www.combien-coute.net/cigarette/java/,https://www.combien-coute.net/cigarette/java/,detail
Jordanie,pays_ou_region,,,Marlboro,2026-04-26,3.01,3,JOD,Dinar jordanien,3.01,3.01,3.61,3,3,3,2026-04-26,2026,https://www.combien-coute.net/cigarette/jordanie/,https://www.combien-coute.net/cigarette/jordanie/,detail
Kazakhstan,pays_ou_region,,,Marlboro,2026-04-30,1.98,1062,KZT,Tenge,1.98,1.76,2.4,1062,944,1287,2026-04-30,2026,https://www.combien-coute.net/cigarette/kazakhstan/,https://www.combien-coute.net/cigarette/kazakhstan/,detail
Kenya,pays_ou_region,,,Marlboro,2026-04-30,2.65,400,KES,Shilling kenyan,2.65,1.99,3.32,400,301,502,2026-04-30,2026,https://www.combien-coute.net/cigarette/kenya/,https://www.combien-coute.net/cigarette/kenya/,detail
Kerala,pays_ou_region,,,Marlboro,2026-04-25,3.3,364,Rs. (INR),Roupie indienne,3.3,3.26,4.53,364,359,499,2026-04-25,2026,https://www.combien-coute.net/cigarette/kerala/,https://www.combien-coute.net/cigarette/kerala/,detail
Kirghizistan,pays_ou_region,,,Marlboro,2026-05-01,1.56,159,KGS,som,1.56,1.46,2.44,159,149,249,2026-05-01,2026,https://www.combien-coute.net/cigarette/kirghizistan/,https://www.combien-coute.net/cigarette/kirghizistan/,detail
Koweït,pays_ou_region,,,Marlboro,2026-04-24,2.5,1,KWD,Dinar koweïtien,2.5,2.36,2.78,1,1,1,2026-04-24,2026,https://www.combien-coute.net/cigarette/koweit/,https://www.combien-coute.net/cigarette/koweit/,detail
Landes,pays_ou_region,,,Marlboro,2026,11.38,,,,11.38,11,14,,,,,2026,https://www.combien-coute.net/cigarette/landes/,https://www.combien-coute.net/cigarette/landes/,detail
